infarc,area,group,x2,x3
.119,.34,3,0,0
.19,.64,3,0,0
.395,.76,3,0,0
.469,.83,3,0,0
.13,.73,3,0,0
.311,.82,3,0,0
.4118,.95,3,0,0
.48,1.06,3,0,0
.687,1.2,3,0,0
.847,1.47,3,0,0
.062,.44,1,1,0
.122,.77,1,1,0
.033,.9,1,1,0
.102,1.07,1,1,0
.206,1.01,1,1,0
.249,1.03,1,1,0
.22,1.16,1,1,0
.299,1.21,1,1,0
.35,1.2,1,1,0
.35,1.22,1,1,0
.588,.99,1,1,0
.379,.77,2,0,1
.149,1.05,2,0,1
.316,1.06,2,0,1
.39,1.02,2,0,1
.429,.99,2,0,1
.477,.97,2,0,1
.439,1.12,2,0,1
.446,1.23,2,0,1
.538,1.19,2,0,1
.625,1.22,2,0,1
.974,1.4,2,0,1

